,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,surge_pct,trips_in_first_30_days,weekday_pct,total_days_january,churn,city_Astapor,city_King's Landing,phone_Android,phone_iPhone,luxury_car_user_True
112,3.59,1.0,5.0,1.0,0.0,1,0.0,25,1,1,0,0,1,0
113,3.07,5.0,5.0,1.0,0.0,2,66.7,3,1,1,0,0,1,0
114,2.98,4.8,4.7,1.06,12.8,0,34.0,9,0,0,1,0,1,1
115,3.53,5.0,5.0,1.5,100.0,0,0.0,8,1,0,1,1,0,0
116,24.14,5.0,4.9,1.0,0.0,0,100.0,1,1,0,1,1,0,0
117,3.07,5.0,3.5,1.0,0.0,2,0.0,18,1,1,0,1,0,0
118,22.19,5.0,4.9,1.0,0.0,1,100.0,31,1,1,0,0,1,1
119,1.71,5.0,5.0,1.0,0.0,3,0.0,25,1,0,0,1,0,0
120,7.75,4.8,5.0,1.13,25.0,1,100.0,13,0,0,1,0,1,1
121,0.75,4.0,4.0,1.0,0.0,1,100.0,27,1,0,0,1,0,0
122,2.77,4.7,4.1,1.0,0.0,5,61.9,18,0,0,0,0,1,1
123,3.27,4.0,4.9,1.0,0.0,1,100.0,3,1,0,0,0,1,0
124,5.97,5.0,5.0,1.0,0.0,4,0.0,23,1,0,0,0,1,0
125,3.24,3.7,4.0,1.17,33.3,0,33.3,25,1,0,0,1,0,0
126,4.63,5.0,5.0,1.08,33.3,0,66.7,19,1,1,0,0,1,0
127,0.67,4.0,4.9,1.0,0.0,1,100.0,17,1,0,0,0,1,0
128,3.02,4.9,4.9,1.0,0.0,7,100.0,17,1,1,0,1,0,0
129,2.89,5.0,4.7,1.34,12.5,4,37.5,17,0,0,0,1,0,1
130,10.44,5.0,5.0,1.31,50.0,0,50.0,26,0,0,1,1,0,0
131,3.04,5.0,4.9,1.0,0.0,0,100.0,18,1,1,0,1,0,1
132,1.69,4.8,4.3,1.0,0.0,0,33.3,11,1,0,0,1,0,1
133,2.18,5.0,3.8,1.18,25.0,0,12.5,24,0,0,1,0,1,0
134,3.82,4.7,5.0,1.08,5.6,6,55.6,15,0,0,0,0,1,0
135,2.79,5.0,5.0,1.0,0.0,1,100.0,10,1,0,0,0,1,0
136,2.99,4.8,3.5,1.0,0.0,3,77.8,26,0,1,0,0,1,1
137,3.75,4.5,4.1,1.0,0.0,1,51.6,1,0,0,0,0,1,1
138,4.6,5.0,5.0,1.0,0.0,0,75.0,8,1,0,0,0,1,0
139,2.47,5.0,4.9,1.0,0.0,0,0.0,25,0,0,0,0,1,1
140,1.85,5.0,4.9,1.5,100.0,1,100.0,21,1,0,0,0,1,0
141,4.39,5.0,4.3,1.0,0.0,2,80.0,3,1,1,0,0,1,1
142,1.62,4.0,5.0,1.0,0.0,0,100.0,26,0,1,0,1,0,1
143,14.79,4.7,4.8,1.08,16.7,4,83.3,5,0,0,0,0,1,1
144,2.81,5.0,4.9,1.0,0.0,1,0.0,18,1,0,0,0,1,0
145,10.29,4.9,4.3,1.0,0.0,4,100.0,24,0,0,0,0,1,0
146,10.53,5.0,5.0,1.0,0.0,0,0.0,25,1,0,0,0,1,1
147,1.62,4.3,4.0,1.0,0.0,2,100.0,22,1,1,0,1,0,0
148,7.05,5.0,4.4,1.0,0.0,2,100.0,28,1,1,0,1,0,0
149,1.95,4.5,4.7,1.03,12.5,3,62.5,28,0,0,1,0,1,0
150,2.29,5.0,4.9,1.0,0.0,0,100.0,12,0,0,0,1,0,1
151,2.84,5.0,4.3,1.0,0.0,3,100.0,30,0,0,1,0,1,1
152,5.5,4.8,4.3,1.04,7.7,1,76.9,27,0,0,1,0,0,1
153,11.28,5.0,4.9,1.0,0.0,0,0.0,25,1,1,0,0,1,0
154,2.26,4.7,4.0,1.0,0.0,1,33.3,25,0,0,0,1,0,0
155,12.46,5.0,5.0,1.0,0.0,0,75.0,31,1,0,0,1,0,0
156,9.16,4.0,4.9,1.19,25.0,0,0.0,5,1,0,0,1,0,0
157,8.73,5.0,4.8,1.0,0.0,1,75.0,25,0,0,1,0,1,1
158,13.33,4.5,4.9,1.0,0.0,0,0.0,14,1,1,0,0,1,0
159,12.66,5.0,4.0,1.0,0.0,0,100.0,31,1,0,0,0,1,1
160,8.93,5.0,4.9,1.0,0.0,0,100.0,23,1,0,0,1,0,1
161,2.77,5.0,4.9,2.0,100.0,0,0.0,9,0,0,1,0,1,0
162,18.85,5.0,4.9,1.0,0.0,0,100.0,26,1,0,0,1,0,1
163,2.03,5.0,4.0,1.0,0.0,0,100.0,23,0,1,0,0,1,1
164,2.02,4.0,4.9,1.0,0.0,1,100.0,31,1,0,0,1,0,0
165,7.12,4.7,5.0,1.0,0.0,1,100.0,31,1,1,0,1,0,1
166,5.58,5.0,5.0,1.0,0.0,1,0.0,19,1,0,1,1,0,0
167,4.57,4.8,5.0,1.29,33.3,1,66.7,4,1,0,0,1,0,0
168,3.02,5.0,4.9,1.0,0.0,1,0.0,27,1,0,0,0,1,0
169,11.93,5.0,4.5,1.0,0.0,2,100.0,26,1,1,0,0,1,0
170,1.59,5.0,2.0,1.0,0.0,1,0.0,4,1,0,0,1,0,0
171,1.71,4.7,5.0,1.0,0.0,0,100.0,24,0,0,1,0,1,1
172,3.64,5.0,4.9,1.04,16.7,0,50.0,10,1,0,1,0,1,0
173,2.55,4.5,4.5,1.0,0.0,5,75.0,19,1,0,0,1,0,0
174,8.53,5.0,4.9,1.0,0.0,1,0.0,31,1,0,0,1,0,0
175,4.13,5.0,4.9,1.0,0.0,0,100.0,8,1,0,0,1,0,0
176,4.89,4.0,4.9,1.0,0.0,1,100.0,30,1,1,0,0,1,0
177,4.32,5.0,5.0,1.15,20.0,0,100.0,5,0,0,1,1,0,0
178,12.68,5.0,4.9,2.0,100.0,1,0.0,12,1,1,0,0,0,0
179,5.17,4.8,4.0,1.1,20.0,2,20.0,4,1,1,0,0,1,0
180,7.75,4.0,5.0,1.0,0.0,0,60.0,31,1,0,0,0,1,0
181,11.59,5.0,5.0,1.6,20.0,5,40.0,30,1,1,0,1,0,1
182,1.41,5.0,5.0,1.0,0.0,0,100.0,4,1,1,0,0,1,0
183,9.19,5.0,5.0,1.0,0.0,4,100.0,3,1,1,0,1,0,0
184,2.46,5.0,5.0,1.0,0.0,0,100.0,12,1,1,0,1,0,0
185,5.27,4.8,4.4,1.17,16.7,0,66.7,3,0,0,1,1,0,1
186,2.0,4.7,4.3,1.0,0.0,5,100.0,23,1,1,0,0,1,0
187,7.14,4.8,5.0,1.0,0.0,1,40.0,22,0,0,0,0,1,0
188,3.7,4.5,5.0,1.0,0.0,9,80.0,1,0,0,0,1,0,1
189,7.92,5.0,4.9,1.0,0.0,0,100.0,11,1,0,0,0,1,0
190,1.76,5.0,5.0,1.0,0.0,1,100.0,31,1,1,0,1,0,0
191,2.99,4.8,5.0,1.06,9.5,6,83.3,2,0,0,1,1,0,1
192,4.4,5.0,5.0,1.0,0.0,1,100.0,1,1,0,0,0,1,0
193,2.32,5.0,4.9,1.0,0.0,0,0.0,1,1,0,0,0,1,0
194,32.62,5.0,4.9,1.0,0.0,1,100.0,20,1,1,0,1,0,1
195,6.29,5.0,3.5,1.0,0.0,4,75.0,9,1,1,0,1,0,0
196,2.1,5.0,5.0,1.0,0.0,0,100.0,10,0,0,0,0,1,0
197,6.43,4.0,4.9,1.0,0.0,0,100.0,11,1,0,0,1,0,0
198,3.0,5.0,5.0,1.0,0.0,1,100.0,20,1,1,0,1,0,0
199,11.46,4.7,4.0,1.0,0.0,2,66.7,19,0,0,0,0,1,1
200,2.6,4.6,4.1,1.13,8.3,4,50.0,27,0,0,0,0,1,1
201,2.37,4.4,4.9,1.04,2.7,1,70.3,1,0,0,0,1,0,0
202,10.83,5.0,4.9,1.0,0.0,0,66.7,24,0,0,0,0,1,1
203,15.07,5.0,5.0,1.0,0.0,0,100.0,17,1,0,0,0,1,0
204,1.88,5.0,5.0,1.0,0.0,0,0.0,2,0,1,0,0,1,1
205,1.44,5.0,4.9,1.0,0.0,0,100.0,26,1,1,0,0,1,0
206,5.66,4.7,4.9,1.0,0.0,4,64.7,12,0,1,0,0,1,0
207,2.99,4.9,4.9,1.05,10.9,12,57.8,10,0,0,1,0,1,1
208,6.73,5.0,4.9,1.0,0.0,1,100.0,23,1,1,0,1,0,0
209,8.43,5.0,5.0,1.0,0.0,2,42.9,19,0,0,1,1,0,0
210,18.28,4.0,4.9,1.0,0.0,0,100.0,5,1,0,0,0,1,1
211,1.91,5.0,4.9,1.0,0.0,0,0.0,20,1,1,0,1,0,0
212,1.26,3.0,5.0,1.0,0.0,3,66.7,9,1,0,1,1,0,0
213,22.35,5.0,4.9,1.0,0.0,1,100.0,31,1,1,0,1,0,0
214,9.79,5.0,4.7,1.0,0.0,1,83.3,11,0,0,1,0,1,1
215,3.47,5.0,4.9,1.0,0.0,1,0.0,7,0,0,1,0,1,1
216,8.21,5.0,5.0,1.0,0.0,1,100.0,9,1,0,0,0,0,1
217,2.92,5.0,4.9,1.0,0.0,1,0.0,11,1,1,0,0,1,1
218,8.0,5.0,5.0,1.0,0.0,0,100.0,17,0,0,0,0,1,0
219,2.46,4.2,3.8,1.0,0.0,7,73.1,24,1,0,0,1,0,1
220,4.75,4.3,5.0,1.0,0.0,0,75.0,21,0,1,0,0,1,1
221,3.13,5.0,5.0,2.5,100.0,1,0.0,18,1,0,0,0,1,0
222,2.55,5.0,4.7,1.0,0.0,5,50.0,16,1,1,0,0,1,0
223,3.63,5.0,5.0,1.0,0.0,1,100.0,30,1,0,1,1,0,1
224,4.25,5.0,5.0,1.0,0.0,0,100.0,22,1,1,0,0,1,0
225,7.9,5.0,4.9,1.0,0.0,1,100.0,9,1,0,0,0,1,0
226,4.21,4.5,4.7,1.0,0.0,0,62.5,16,0,1,0,1,0,0
227,3.18,4.4,3.8,1.11,13.0,7,65.2,4,0,0,0,0,1,1
228,26.5,5.0,5.0,1.0,0.0,1,100.0,10,1,1,0,0,1,1
229,8.53,5.0,3.0,1.0,0.0,0,0.0,14,1,0,0,0,1,0
230,2.48,4.9,4.7,1.0,0.0,8,56.5,17,0,0,1,0,1,1
231,2.39,4.0,5.0,1.0,0.0,0,0.0,29,1,0,0,1,0,1
232,3.91,5.0,4.9,1.0,0.0,1,0.0,25,1,0,0,1,0,1
233,2.14,4.3,4.8,1.0,0.0,4,27.3,2,0,0,0,1,0,0
234,3.97,4.6,4.6,1.19,37.5,1,37.5,24,1,1,0,0,1,0
235,10.02,5.0,4.9,1.0,0.0,1,100.0,28,0,0,1,0,1,0
236,9.74,5.0,4.0,1.0,0.0,5,0.0,24,0,0,0,1,0,1
237,17.86,5.0,4.0,1.0,0.0,0,100.0,10,1,0,0,0,1,1
238,3.74,4.7,4.5,1.02,6.3,4,31.3,18,0,0,0,1,0,0
239,6.52,5.0,4.0,1.0,0.0,0,100.0,8,1,1,0,0,0,1
240,1.07,5.0,5.0,1.0,0.0,3,66.7,24,1,1,0,0,1,0
241,17.76,5.0,4.9,1.0,0.0,1,100.0,1,1,0,0,1,0,0
242,0.85,5.0,4.9,1.0,0.0,1,0.0,25,1,1,0,1,0,0
243,3.75,5.0,5.0,1.0,0.0,0,100.0,29,0,0,1,0,1,1
244,1.65,5.0,4.9,1.0,0.0,1,100.0,28,1,0,0,0,1,0
245,7.71,4.8,4.9,1.01,2.9,15,65.9,7,0,0,0,0,1,1
246,5.4,5.0,4.9,1.0,0.0,0,100.0,31,1,0,0,1,0,0
247,2.87,5.0,5.0,1.05,20.0,1,30.0,12,0,1,0,0,1,0
249,13.47,5.0,4.0,1.0,0.0,1,0.0,25,1,0,0,1,0,0
250,2.58,5.0,5.0,1.05,10.0,0,70.0,17,0,0,0,1,0,1
251,17.73,5.0,4.9,1.0,0.0,1,0.0,14,1,0,0,0,1,1
252,2.69,5.0,4.9,1.0,0.0,0,100.0,25,1,1,0,0,1,1
253,5.81,4.8,3.1,1.02,2.6,16,100.0,10,0,0,0,0,1,0
254,1.66,4.0,4.9,1.0,0.0,0,100.0,31,0,1,0,0,1,0
255,4.34,5.0,4.9,1.0,0.0,1,0.0,5,1,1,0,1,0,1
256,7.54,4.4,5.0,1.0,0.0,0,40.0,21,1,0,0,0,1,0
257,4.57,5.0,4.9,1.0,0.0,0,100.0,21,1,1,0,0,1,1
258,13.1,5.0,5.0,1.0,0.0,0,100.0,1,1,0,0,0,1,0
259,4.31,5.0,5.0,1.0,0.0,1,100.0,10,1,0,0,0,1,0
260,1.64,5.0,4.8,1.0,0.0,2,50.0,10,1,0,0,0,1,0
261,2.85,5.0,4.7,1.02,10.0,4,60.0,26,1,0,0,1,0,0
262,2.63,4.8,5.0,1.06,25.0,0,75.0,5,0,0,1,1,0,0
263,6.3,5.0,5.0,1.0,0.0,1,0.0,19,1,0,0,1,0,0
264,5.32,4.8,4.6,1.15,20.0,3,100.0,21,1,0,0,0,1,0
265,18.4,5.0,5.0,1.0,0.0,0,100.0,5,1,0,0,0,1,0
266,5.63,4.2,5.0,1.0,0.0,0,100.0,25,0,0,1,0,1,0
267,2.38,5.0,4.9,1.0,0.0,0,0.0,21,1,1,0,0,1,1
268,4.57,5.0,5.0,1.0,0.0,1,100.0,9,0,0,0,0,1,1
269,2.38,5.0,5.0,1.08,33.3,0,50.0,6,1,0,0,0,1,0
270,1.51,4.0,3.3,1.0,0.0,1,0.0,25,1,1,0,0,1,1
271,1.22,5.0,5.0,1.0,0.0,2,50.0,10,1,0,0,0,1,0
272,3.27,5.0,4.9,1.38,25.0,1,75.0,12,1,0,0,1,0,0
273,4.29,4.7,5.0,1.0,0.0,0,100.0,27,1,0,0,0,1,0
274,7.52,4.7,3.7,1.0,0.0,1,33.3,18,1,1,0,0,1,0
275,8.11,5.0,4.9,1.0,0.0,2,100.0,23,1,0,0,0,1,0
276,2.47,4.7,4.5,1.2,21.4,23,71.4,19,1,1,0,0,1,1
277,5.36,5.0,4.9,1.0,0.0,0,100.0,4,1,1,0,0,1,1
278,3.68,3.8,5.0,1.13,12.5,2,50.0,31,1,1,0,0,1,0
279,2.61,4.8,4.4,1.0,0.0,1,81.3,5,0,0,0,1,0,0
280,3.36,4.2,3.4,1.4,20.0,4,20.0,31,1,0,0,0,1,0
281,4.31,5.0,2.0,1.0,0.0,0,50.0,23,1,0,0,0,1,0
282,2.39,4.0,5.0,1.0,0.0,0,0.0,22,1,0,1,0,1,0
283,9.89,5.0,4.0,1.0,0.0,0,100.0,7,0,0,0,0,1,1
284,19.95,5.0,3.0,1.0,0.0,1,0.0,22,1,0,1,1,0,0
285,12.35,5.0,5.0,1.0,0.0,0,50.0,18,1,0,1,1,0,0
286,1.87,5.0,4.7,1.0,0.0,4,100.0,28,1,1,0,1,0,1
287,8.43,5.0,5.0,1.0,0.0,1,100.0,18,1,0,0,0,1,0
288,4.16,5.0,5.0,1.0,0.0,1,66.7,30,0,0,0,0,1,0
289,5.4,4.8,4.2,1.08,5.3,3,0.0,4,0,0,1,0,1,1
290,5.86,5.0,5.0,1.0,0.0,5,40.0,3,1,1,0,1,0,0
291,2.79,5.0,4.9,1.0,0.0,1,0.0,25,1,0,0,1,0,0
292,2.38,4.5,5.0,1.0,0.0,0,0.0,1,0,0,1,0,1,0
293,15.51,4.0,4.0,1.0,0.0,0,100.0,6,0,0,0,0,1,0
294,5.37,5.0,4.7,1.0,0.0,1,37.5,25,0,0,0,1,0,1
295,1.65,5.0,5.0,1.0,0.0,2,75.0,10,0,0,0,0,1,0
296,2.85,4.6,4.5,1.19,22.5,6,85.0,16,0,0,1,0,1,0
297,2.94,4.5,2.0,1.0,0.0,3,66.7,24,0,0,0,0,1,0
298,27.87,5.0,4.9,1.0,0.0,1,100.0,3,1,1,0,0,1,1
299,26.21,5.0,5.0,1.0,0.0,0,50.0,26,0,0,1,1,0,0
300,1.88,4.9,4.8,1.39,33.3,7,66.7,17,1,1,0,0,1,0
301,5.24,5.0,4.9,1.0,0.0,0,0.0,11,0,0,1,0,1,0
302,2.68,5.0,5.0,1.38,50.0,0,0.0,25,1,0,0,0,1,0
303,7.97,5.0,5.0,1.0,0.0,6,100.0,6,1,1,0,0,1,0
304,6.47,5.0,4.9,1.0,0.0,1,100.0,11,1,1,0,0,1,0
305,1.55,5.0,5.0,1.0,0.0,1,100.0,15,1,0,1,0,1,1
306,5.22,5.0,5.0,1.0,0.0,1,0.0,20,1,1,0,0,1,0
307,10.9,5.0,4.9,1.0,0.0,1,100.0,5,1,0,0,1,0,1
308,3.2,4.8,4.9,1.16,20.8,9,87.5,4,0,0,1,0,1,1
309,3.33,4.3,4.4,1.06,11.8,1,52.9,9,0,0,0,0,1,0
310,0.81,5.0,5.0,1.0,0.0,2,100.0,22,1,1,0,0,1,1
311,7.65,5.0,5.0,1.0,0.0,0,100.0,13,1,0,0,0,1,1
312,4.73,4.8,4.4,1.13,13.2,5,47.4,11,0,1,0,0,1,1
313,7.49,5.0,4.5,1.0,0.0,0,0.0,7,1,0,1,1,0,0
314,1.75,5.0,4.9,1.0,0.0,3,100.0,23,0,0,1,0,1,0
315,3.15,4.9,5.0,1.19,22.2,1,77.8,17,0,0,1,0,1,1
316,0.72,2.0,4.9,1.0,0.0,1,0.0,25,1,0,0,0,1,0
317,3.27,3.0,4.0,1.0,0.0,2,100.0,24,1,1,0,1,0,0
318,2.18,5.0,5.0,1.0,0.0,1,100.0,30,1,1,0,1,0,1
319,2.71,5.0,4.0,1.0,0.0,0,0.0,1,1,1,0,0,1,0
320,4.04,4.3,4.0,1.0,0.0,0,100.0,2,1,1,0,0,1,0
321,3.24,5.0,5.0,1.0,0.0,2,66.7,23,0,0,1,0,1,0
322,2.87,5.0,5.0,1.0,0.0,1,0.0,7,0,0,1,0,1,1
323,3.38,4.9,5.0,1.08,25.0,4,75.0,23,0,1,0,1,0,0
324,4.84,4.9,4.6,1.07,10.5,2,47.4,6,0,1,0,0,1,1
325,1.93,5.0,5.0,1.0,0.0,3,100.0,6,1,0,0,0,1,0
326,33.18,5.0,4.9,1.0,0.0,0,100.0,23,0,0,1,0,1,1
327,7.2,4.7,5.0,1.12,20.0,3,60.0,17,0,0,1,0,1,1
328,3.92,4.8,4.5,1.08,8.3,0,83.3,24,1,0,0,0,1,0
